"Country/Area Name","Year","GROUP","GENC","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex Ratio of the Population"
"Gaza Strip","2015","55 - 59","XG","32,934","1.9","16,724","1.9","16,210","1.9","1.03"
"Gaza Strip","2015","60 - 64","XG","23,781","1.4","12,263","1.4","11,518","1.3","1.06"
"Gaza Strip","2015","65 - 69","XG","17,075","1.0","8,785","1.0","8,290","1.0","1.06"
"Gaza Strip","2015","70 - 74","XG","10,921","0.6","5,258","0.6","5,663","0.7","0.93"
"Gaza Strip","2015","75 - 79","XG","7,731","0.4","3,601","0.4","4,130","0.5","0.87"
"Gaza Strip","2015","80 - 84","XG","4,937","0.3","2,239","0.3","2,698","0.3","0.83"
"Gaza Strip","2015","85 - 89","XG","2,044","0.1","873","0.1","1,171","0.1","0.75"
"Gaza Strip","2015","90 - 94","XG","570","0.0","225","0.0","345","0.0","0.65"
"Gaza Strip","2015","95 - 99","XG","90","0.0","31","0.0","59","0.0","0.53"
"Gaza Strip","2015","100+","XG","8","0.0","4","0.0","4","0.0","1.00"
