state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,5404927,5186380,5481968
new_case,All,All,All,1951,1884804,1876529,2168370
new_case,All,All,All,1952,810678,759613,812083
new_case,All,All,All,1953,615942,607333,618356
new_case,All,All,All,1954,500972,497129,505982
new_case,All,All,All,1955,447625,441727,452545
new_case,All,All,All,1956,413789,410550,414917
new_case,All,All,All,1957,396589,392344,397078
new_case,All,All,All,1958,370220,364986,371893
new_case,All,All,All,1959,359411,353327,359811
new_case,All,All,All,1960,344637,344015,350100
new_case,All,All,All,1961,338476,338052,339794
new_case,All,All,All,1962,335162,332190,335346
new_case,All,All,All,1963,331369,331027,333117
new_case,All,All,All,1964,334659,331349,334858
new_case,All,All,All,1965,326413,323260,330861
new_case,All,All,All,1966,325168,319687,328621
new_case,All,All,All,1967,319581,314872,325333
new_case,All,All,All,1968,320627,314720,326105
new_case,All,All,All,1969,321573,318718,325619
new_case,All,All,All,1970,319615,312759,322618
new_case,All,All,All,1971,323029,320656,324932
new_case,All,All,All,1972,316509,309381,320911
new_case,All,All,All,1973,318151,312875,318598
new_case,All,All,All,1974,317385,316405,318035
new_case,All,All,All,1975,317566,316590,321447
new_case,All,All,All,1976,320445,319406,321159
new_case,All,All,All,1977,318089,316544,322847
new_case,All,All,All,1978,326037,324106,327301
new_case,All,All,All,1979,318524,316797,320317
new_case,All,All,All,1980,87557,86430,88072
new_case,All,All,All,1981,65100,64318,65187
new_case,All,All,All,1982,61848,61677,61940
new_case,All,All,All,1983,47463,46813,47869
new_case,All,All,All,1984,43157,42409,43580
new_case,All,All,All,1985,43762,43470,44121
new_case,All,All,All,1986,10662,10599,11107
new_case,All,All,All,1987,15810,15679,15995
new_case,All,All,All,1988,12801,12471,13113
new_case,All,All,All,1989,11568,11097,11656
new_case,All,All,All,1990,23138,22936,23956
new_case,All,All,All,1991,13397,13221,13641
new_case,All,All,All,1992,5152,4991,5394
new_case,All,All,All,1993,8000,7673,8564
new_case,All,All,All,1994,5608,5416,5694
new_case,All,All,All,1995,3385,3258,3392
new_case,All,All,All,1996,4700,4411,4772
new_case,All,All,All,1997,3211,2941,3239
new_case,All,All,All,1998,4014,3870,9800
new_case,All,All,All,1999,2018,2000,2164
new_case,All,All,All,2000,2293,2173,2361
new_case,All,All,All,2001,6627,6240,7615
new_case,All,All,All,2002,1818,1790,1984
new_case,All,All,All,2003,2011,1971,2207
new_case,All,All,All,2004,3498,3405,3821
new_case,All,All,All,2005,697,681,749
new_case,All,All,All,2006,1921,1833,1930
new_case,All,All,All,2007,3016,2861,3408
new_case,All,All,All,2008,791,730,864
new_case,All,All,All,2009,834,760,874
new_case,All,All,All,2010,445,416,445
new_case,All,All,All,2011,5144,4869,5543
new_case,All,All,All,2012,5164,4986,5228
new_case,All,All,All,2013,2360,2345,2538
new_case,All,All,All,2014,256,232,285
new_case,All,All,All,2015,10,10,22
new_case,All,All,All,2016,597,587,639
new_case,All,All,All,2017,3234,3074,3401
new_case,All,All,All,2018,3259,3209,3498
new_case,All,All,All,2019,13071,12001,13351
new_case,All,All,All,2020,939,922,1045
new_case,All,All,All,2021,13,9,30
new_case,All,All,All,2022,34,18,44
new_case,All,All,All,2023,25,22,34
S,1,1,1,2023,181843.5,111311,291608
S,2,1,1,2023,266354.5,218946,287996
S,3,1,1,2023,245124.5,223700,249614
S,4,1,1,2023,189697.5,159168,212407
S,5,1,1,2023,142937,121026,166684
S,6,1,1,2023,116093.5,104847,132201
S,7,1,1,2023,105812.5,100948,113576
S,8,1,1,2023,106015,104432,109050
S,9,1,1,2023,111793.5,110639,113982
S,10,1,1,2023,121373.5,118138,125207
S,11,1,1,2023,132691,128296,136802
S,12,1,1,2023,145472,140506,149597
S,13,1,1,2023,158640.5,153990,163265
S,14,1,1,2023,172769.5,167274,177753
S,15,1,1,2023,187133.5,181600,191965
S,16,1,1,2023,200539,195821,204865
S,17,1,1,2023,212221.5,208145,215694
S,18,1,1,2023,222175.5,219328,225668
S,19,1,1,2023,231393.5,228540,233771
S,20,1,1,2023,238682,236190,240509
S,21,1,1,2023,244154,242616,245586
S,22,1,1,2023,249129.5,248022,250332
S,23,1,1,2023,255344,253802,256870
S,24,1,1,2023,261611.5,260663,263198
S,25,1,1,2023,270153,268135,272547
S,26,1,1,2023,281826,277775,286458
S,27,1,1,2023,298392,292964,305276
S,28,1,1,2023,319626,311912,328549
S,29,1,1,2023,344553,334197,356011
S,30,1,1,2023,373812.5,361861,386389
S,31,1,1,2023,407189,393129,422619
S,32,1,1,2023,444222,428034,461565
S,33,1,1,2023,482297.5,464616,501206
S,34,1,1,2023,523176.5,504348,541145
S,35,1,1,2023,560425.5,542897,578786
S,36,1,1,2023,597639,580443,615169
S,37,1,1,2023,630237,614019,646661
S,38,1,1,2023,658662.5,642870,672331
S,39,1,1,2023,682428,668977,693332
S,40,1,1,2023,698595,690058,708066
S,41,1,1,2023,710478,703905,717461
S,42,1,1,2023,717071.5,712623,720928
S,43,1,1,2023,718112.5,714696,718946
S,44,1,1,2023,713000,708494,716337
S,45,1,1,2023,703341,697377,709753
S,46,1,1,2023,691742,684245,698966
S,47,1,1,2023,675518,665975,684081
S,48,1,1,2023,658294.5,646906,667017
S,49,1,1,2023,638798.5,626131,649037
S,50,1,1,2023,617578,604474,628635
S,51,1,1,2023,595286.5,581556,607671
S,52,1,1,2023,572063,558298,584053
S,53,1,1,2023,548374,535800,561321
S,54,1,1,2023,524410,512390,537314
S,55,1,1,2023,499012,487571,512599
S,56,1,1,2023,475493,461965,487073
S,57,1,1,2023,450215.5,438262,462416
S,58,1,1,2023,426330.5,413823,439158
S,59,1,1,2023,402192.5,389731,414158
S,60,1,1,2023,379432.5,366744,390867
S,61,1,1,2023,356302.5,342732,369261
S,62,1,1,2023,332961.5,321151,346461
S,63,1,1,2023,310622.5,299069,321916
S,64,1,1,2023,288705,276582,299773
S,65,1,1,2023,267210.5,255457,278104
S,66,1,1,2023,245571.5,234881,256080
S,67,1,1,2023,225287.5,213473,236023
S,68,1,1,2023,204829.5,194120,215791
S,69,1,1,2023,185530.5,176100,195460
S,70,1,1,2023,167834.5,159231,176965
S,71,1,1,2023,151038,142607,159553
S,72,1,1,2023,134829.5,127409,142801
S,73,1,1,2023,119688.5,112332,126988
S,74,1,1,2023,105524,98523,112159
S,75,1,1,2023,92478.5,85716,99080
S,76,1,1,2023,80518.5,74809,86370
S,77,1,1,2023,69929.5,64936,75198
S,78,1,1,2023,60473,55536,65519
S,79,1,1,2023,51647.5,47208,56100
S,80,1,1,2023,43575.5,39733,47650
S,81,1,1,2023,36599.5,33128,40352
S,82,1,1,2023,30342.5,27473,33732
S,83,1,1,2023,25360,22754,28188
S,84,1,1,2023,20821,18627,23097
S,85,1,1,2023,16886.5,14723,19007
S,86,1,1,2023,13544,11624,15434
S,87,1,1,2023,10673.5,9235,12198
S,88,1,1,2023,8389.5,7072,9721
S,89,1,1,2023,6373,5424,7618
S,90,1,1,2023,4874.5,4059,5776
S,91,1,1,2023,3708,3019,4427
S,92,1,1,2023,2697,2185,3256
S,93,1,1,2023,1881.5,1515,2301
S,94,1,1,2023,1356.5,1058,1646
S,95,1,1,2023,903.5,682,1131
S,96,1,1,2023,578.5,424,768
S,97,1,1,2023,360,283,468
S,98,1,1,2023,232,151,295
S,99,1,1,2023,147,90,206
S,100,1,1,2023,93,55,131
S,101,1,1,2023,132.5,91,198
S,1,2,1,2023,22966.5,18705,25017
S,2,2,1,2023,51383,47185,53787
S,3,2,1,2023,82573.5,78177,86381
S,4,2,1,2023,115114.5,111057,118190
S,5,2,1,2023,144548.5,141849,146380
S,6,2,1,2023,170558.5,169053,171860
S,7,2,1,2023,194091.5,192763,195483
S,8,2,1,2023,215193.5,213643,216992
S,9,2,1,2023,233869,232064,235106
S,10,2,1,2023,250006.5,247563,252013
S,11,2,1,2023,265751.5,263057,267415
S,12,2,1,2023,279169.5,276845,282275
S,13,2,1,2023,291707,288226,294846
S,14,2,1,2023,302558.5,298621,308062
S,15,2,1,2023,312425,308947,316495
S,16,2,1,2023,322206,318467,324596
S,17,2,1,2023,331856.5,327316,334946
S,18,2,1,2023,340992,337705,342716
S,19,2,1,2023,349305,346738,351553
S,20,2,1,2023,356830.5,355848,358894
S,21,2,1,2023,365614.5,364410,367098
S,22,2,1,2023,374235,373078,376050
S,23,2,1,2023,380483,378911,381998
S,24,2,1,2023,385155.5,382282,386281
S,25,2,1,2023,386585,383713,389238
S,26,2,1,2023,384888,380671,389184
S,27,2,1,2023,380443.5,376001,385436
S,28,2,1,2023,373102,366181,378093
S,29,2,1,2023,360452,351898,368242
S,30,2,1,2023,344358,333859,353403
S,31,2,1,2023,324477.5,312985,335132
S,32,2,1,2023,301483,288688,313402
S,33,2,1,2023,276601.5,262495,289230
S,34,2,1,2023,249948,235454,263600
S,35,2,1,2023,222990,208645,237201
S,36,2,1,2023,195598,181985,209819
S,37,2,1,2023,169644,156968,182912
S,38,2,1,2023,145139,133534,157708
S,39,2,1,2023,123074.5,112562,134161
S,40,2,1,2023,103633.5,94477,113475
S,41,2,1,2023,86917.5,78871,95465
S,42,2,1,2023,72553,65465,79773
S,43,2,1,2023,60203,54170,66463
S,44,2,1,2023,50019,45384,55152
S,45,2,1,2023,42252.5,38259,46223
S,46,2,1,2023,35612,32534,39042
S,47,2,1,2023,30658,27968,33610
S,48,2,1,2023,26609.5,24474,28764
S,49,2,1,2023,23351,21430,25358
S,50,2,1,2023,20713.5,19262,22331
S,51,2,1,2023,18720,17298,19941
S,52,2,1,2023,16806,15713,17867
S,53,2,1,2023,15141,14030,16182
S,54,2,1,2023,13605.5,12642,14443
S,55,2,1,2023,12551,11544,13177
S,56,2,1,2023,11422,10671,11957
S,57,2,1,2023,10510,9637,11002
S,58,2,1,2023,9397.5,8688,10035
S,59,2,1,2023,8574.5,7838,9112
S,60,2,1,2023,7724,7336,8294
S,61,2,1,2023,7101.5,6609,7512
S,62,2,1,2023,6452,6107,6789
S,63,2,1,2023,5820.5,5433,6199
S,64,2,1,2023,5240,4848,5622
S,65,2,1,2023,4704.5,4349,5053
S,66,2,1,2023,4187,3897,4569
S,67,2,1,2023,3701.5,3532,3951
S,68,2,1,2023,3283.5,3050,3432
S,69,2,1,2023,2896,2736,3120
S,70,2,1,2023,2568.5,2361,2790
S,71,2,1,2023,2269,2101,2448
S,72,2,1,2023,1949,1738,2120
S,73,2,1,2023,1648.5,1392,1877
S,74,2,1,2023,1421.5,1234,1581
S,75,2,1,2023,1187,1002,1331
S,76,2,1,2023,973,794,1090
S,77,2,1,2023,796.5,686,925
S,78,2,1,2023,643.5,527,740
S,79,2,1,2023,511,452,607
S,80,2,1,2023,409.5,350,488
S,81,2,1,2023,341,307,420
S,82,2,1,2023,276.5,240,329
S,83,2,1,2023,210,171,261
S,84,2,1,2023,177.5,139,205
S,85,2,1,2023,120.5,93,141
S,86,2,1,2023,76,61,108
S,87,2,1,2023,55,44,74
S,88,2,1,2023,34,17,50
S,89,2,1,2023,22,9,39
S,90,2,1,2023,17,7,20
S,91,2,1,2023,10,4,24
S,92,2,1,2023,5.5,2,14
S,93,2,1,2023,4,1,7
S,94,2,1,2023,1,0,5
S,95,2,1,2023,0,0,2
S,96,2,1,2023,0,0,1
S,97,2,1,2023,0,0,1
S,98,2,1,2023,0,0,0
S,99,2,1,2023,0,0,0
S,100,2,1,2023,0,0,0
S,101,2,1,2023,0,0,0
S,1,3,1,2023,394639,236512,645882
S,2,3,1,2023,570626.5,459681,625569
S,3,3,1,2023,628832,575830,660862
S,4,3,1,2023,665564.5,630607,695642
S,5,3,1,2023,685406,660739,705821
S,6,3,1,2023,684362,667927,695466
S,7,3,1,2023,668533.5,660097,673556
S,8,3,1,2023,644969.5,639043,646595
S,9,3,1,2023,616443,612466,619301
S,10,3,1,2023,586424,580830,590306
S,11,3,1,2023,556803.5,551699,562733
S,12,3,1,2023,527949,524135,533419
S,13,3,1,2023,500464.5,496334,503640
S,14,3,1,2023,474374.5,469906,479766
S,15,3,1,2023,449821.5,446425,454570
S,16,3,1,2023,426323,423551,430189
S,17,3,1,2023,406547,403173,409803
S,18,3,1,2023,387114,384433,389664
S,19,3,1,2023,369594.5,366980,371326
S,20,3,1,2023,353364,351999,355677
S,21,3,1,2023,338709.5,337174,340456
S,22,3,1,2023,325045,323504,326413
S,23,3,1,2023,311999,309639,312907
S,24,3,1,2023,299509.5,297912,300655
S,25,3,1,2023,286671.5,284884,287813
S,26,3,1,2023,273641.5,271081,274949
S,27,3,1,2023,260109.5,255687,262405
S,28,3,1,2023,244720,240260,247867
S,29,3,1,2023,227913,224224,231803
S,30,3,1,2023,211187.5,206695,215765
S,31,3,1,2023,193819.5,188511,198661
S,32,3,1,2023,174560,168523,179803
S,33,3,1,2023,156265,149679,162146
S,34,3,1,2023,137983,131575,144488
S,35,3,1,2023,120135.5,113740,126651
S,36,3,1,2023,103364.5,96890,109386
S,37,3,1,2023,87437.5,81313,93550
S,38,3,1,2023,73149,67639,78679
S,39,3,1,2023,60601.5,55694,65665
S,40,3,1,2023,49675,45399,54087
S,41,3,1,2023,40239.5,36668,44345
S,42,3,1,2023,32380.5,29070,35546
S,43,3,1,2023,25861,23272,28399
S,44,3,1,2023,20655.5,18662,22989
S,45,3,1,2023,16664,14938,18350
S,46,3,1,2023,13507.5,12230,14903
S,47,3,1,2023,11168.5,9894,12099
S,48,3,1,2023,9081,8146,9870
S,49,3,1,2023,7452,6701,8162
S,50,3,1,2023,6313,5782,6848
S,51,3,1,2023,5407.5,5068,5869
S,52,3,1,2023,4739,4374,5094
S,53,3,1,2023,4040,3771,4376
S,54,3,1,2023,3501,3306,3687
S,55,3,1,2023,3092,2889,3256
S,56,3,1,2023,2655.5,2456,2835
S,57,3,1,2023,2405.5,2271,2521
S,58,3,1,2023,2079,1970,2235
S,59,3,1,2023,1813,1641,1892
S,60,3,1,2023,1594.5,1497,1687
S,61,3,1,2023,1411.5,1286,1491
S,62,3,1,2023,1249.5,1072,1317
S,63,3,1,2023,1137,950,1205
S,64,3,1,2023,983.5,872,1071
S,65,3,1,2023,815,717,1035
S,66,3,1,2023,717,642,897
S,67,3,1,2023,657.5,569,781
S,68,3,1,2023,539,471,683
S,69,3,1,2023,479,377,551
S,70,3,1,2023,410.5,330,466
S,71,3,1,2023,331.5,268,417
S,72,3,1,2023,266.5,226,361
S,73,3,1,2023,238,199,329
S,74,3,1,2023,211,178,282
S,75,3,1,2023,166.5,142,216
S,76,3,1,2023,139,108,170
S,77,3,1,2023,120,88,142
S,78,3,1,2023,84,54,105
S,79,3,1,2023,76,42,86
S,80,3,1,2023,58.5,42,76
S,81,3,1,2023,47,26,57
S,82,3,1,2023,24,19,51
S,83,3,1,2023,23,19,36
S,84,3,1,2023,19.5,14,35
S,85,3,1,2023,15,8,18
S,86,3,1,2023,10,4,17
S,87,3,1,2023,6,1,11
S,88,3,1,2023,1,0,12
S,89,3,1,2023,0,0,12
S,90,3,1,2023,0,0,9
S,91,3,1,2023,0,0,2
S,92,3,1,2023,0,0,0
S,93,3,1,2023,0,0,0
S,94,3,1,2023,0,0,0
S,95,3,1,2023,0,0,0
S,96,3,1,2023,0,0,0
S,97,3,1,2023,0,0,0
S,98,3,1,2023,0,0,0
S,99,3,1,2023,0,0,0
S,100,3,1,2023,0,0,0
S,101,3,1,2023,0,0,0
E,1,1,1,2023,0,0,1
E,2,1,1,2023,0,0,0
E,3,1,1,2023,0,0,0
E,4,1,1,2023,0,0,0
E,5,1,1,2023,0,0,0
E,6,1,1,2023,0,0,0
E,7,1,1,2023,0,0,0
E,8,1,1,2023,0,0,0
E,9,1,1,2023,0,0,0
E,10,1,1,2023,0,0,0
E,11,1,1,2023,0,0,0
E,12,1,1,2023,0,0,0
E,13,1,1,2023,0,0,0
E,14,1,1,2023,0,0,0
E,15,1,1,2023,0,0,0
E,16,1,1,2023,0,0,0
E,17,1,1,2023,0,0,0
E,18,1,1,2023,0,0,0
E,19,1,1,2023,0,0,0
E,20,1,1,2023,0,0,0
E,21,1,1,2023,0,0,0
E,22,1,1,2023,0,0,0
E,23,1,1,2023,0,0,0
E,24,1,1,2023,0,0,0
E,25,1,1,2023,0,0,1
E,26,1,1,2023,0,0,0
E,27,1,1,2023,0,0,0
E,28,1,1,2023,0,0,0
E,29,1,1,2023,0,0,0
E,30,1,1,2023,0,0,0
E,31,1,1,2023,0,0,0
E,32,1,1,2023,0,0,0
E,33,1,1,2023,0,0,0
E,34,1,1,2023,0,0,1
E,35,1,1,2023,0,0,0
E,36,1,1,2023,0,0,0
E,37,1,1,2023,0,0,0
E,38,1,1,2023,0,0,0
E,39,1,1,2023,0,0,0
E,40,1,1,2023,0,0,0
E,41,1,1,2023,0,0,0
E,42,1,1,2023,0,0,0
E,43,1,1,2023,0,0,0
E,44,1,1,2023,0,0,0
E,45,1,1,2023,0,0,0
E,46,1,1,2023,0,0,0
E,47,1,1,2023,0,0,1
E,48,1,1,2023,0,0,0
E,49,1,1,2023,0,0,0
E,50,1,1,2023,0,0,0
E,51,1,1,2023,0,0,0
E,52,1,1,2023,0,0,1
E,53,1,1,2023,0,0,0
E,54,1,1,2023,0,0,0
E,55,1,1,2023,0,0,0
E,56,1,1,2023,0,0,0
E,57,1,1,2023,0,0,0
E,58,1,1,2023,0,0,0
E,59,1,1,2023,0,0,0
E,60,1,1,2023,0,0,0
E,61,1,1,2023,0,0,0
E,62,1,1,2023,0,0,0
E,63,1,1,2023,0,0,0
E,64,1,1,2023,0,0,0
E,65,1,1,2023,0,0,0
E,66,1,1,2023,0,0,0
E,67,1,1,2023,0,0,0
E,68,1,1,2023,0,0,0
E,69,1,1,2023,0,0,0
E,70,1,1,2023,0,0,0
E,71,1,1,2023,0,0,0
E,72,1,1,2023,0,0,0
E,73,1,1,2023,0,0,0
E,74,1,1,2023,0,0,0
E,75,1,1,2023,0,0,0
E,76,1,1,2023,0,0,0
E,77,1,1,2023,0,0,0
E,78,1,1,2023,0,0,0
E,79,1,1,2023,0,0,0
E,80,1,1,2023,0,0,0
E,81,1,1,2023,0,0,0
E,82,1,1,2023,0,0,0
E,83,1,1,2023,0,0,0
E,84,1,1,2023,0,0,0
E,85,1,1,2023,0,0,0
E,86,1,1,2023,0,0,0
E,87,1,1,2023,0,0,0
E,88,1,1,2023,0,0,0
E,89,1,1,2023,0,0,0
E,90,1,1,2023,0,0,0
E,91,1,1,2023,0,0,0
E,92,1,1,2023,0,0,0
E,93,1,1,2023,0,0,0
E,94,1,1,2023,0,0,0
E,95,1,1,2023,0,0,0
E,96,1,1,2023,0,0,0
E,97,1,1,2023,0,0,0
E,98,1,1,2023,0,0,0
E,99,1,1,2023,0,0,0
E,100,1,1,2023,0,0,0
E,101,1,1,2023,0,0,0
E,1,2,1,2023,0,0,0
E,2,2,1,2023,0,0,0
E,3,2,1,2023,0,0,0
E,4,2,1,2023,0,0,0
E,5,2,1,2023,0,0,0
E,6,2,1,2023,0,0,0
E,7,2,1,2023,0,0,0
E,8,2,1,2023,0,0,0
E,9,2,1,2023,0,0,0
E,10,2,1,2023,0,0,0
E,11,2,1,2023,0,0,0
E,12,2,1,2023,0,0,0
E,13,2,1,2023,0,0,0
E,14,2,1,2023,0,0,0
E,15,2,1,2023,0,0,0
E,16,2,1,2023,0,0,0
E,17,2,1,2023,0,0,0
E,18,2,1,2023,0,0,0
E,19,2,1,2023,0,0,0
E,20,2,1,2023,0,0,0
E,21,2,1,2023,0,0,0
E,22,2,1,2023,0,0,0
E,23,2,1,2023,0,0,0
E,24,2,1,2023,0,0,0
E,25,2,1,2023,0,0,0
E,26,2,1,2023,0,0,0
E,27,2,1,2023,0,0,0
E,28,2,1,2023,0,0,0
E,29,2,1,2023,0,0,0
E,30,2,1,2023,0,0,0
E,31,2,1,2023,0,0,0
E,32,2,1,2023,0,0,0
E,33,2,1,2023,0,0,0
E,34,2,1,2023,0,0,0
E,35,2,1,2023,0,0,0
E,36,2,1,2023,0,0,0
E,37,2,1,2023,0,0,0
E,38,2,1,2023,0,0,0
E,39,2,1,2023,0,0,0
E,40,2,1,2023,0,0,0
E,41,2,1,2023,0,0,0
E,42,2,1,2023,0,0,0
E,43,2,1,2023,0,0,0
E,44,2,1,2023,0,0,0
E,45,2,1,2023,0,0,0
E,46,2,1,2023,0,0,0
E,47,2,1,2023,0,0,0
E,48,2,1,2023,0,0,0
E,49,2,1,2023,0,0,0
E,50,2,1,2023,0,0,0
E,51,2,1,2023,0,0,0
E,52,2,1,2023,0,0,0
E,53,2,1,2023,0,0,0
E,54,2,1,2023,0,0,0
E,55,2,1,2023,0,0,0
E,56,2,1,2023,0,0,0
E,57,2,1,2023,0,0,0
E,58,2,1,2023,0,0,0
E,59,2,1,2023,0,0,0
E,60,2,1,2023,0,0,0
E,61,2,1,2023,0,0,0
E,62,2,1,2023,0,0,0
E,63,2,1,2023,0,0,0
E,64,2,1,2023,0,0,0
E,65,2,1,2023,0,0,0
E,66,2,1,2023,0,0,0
E,67,2,1,2023,0,0,0
E,68,2,1,2023,0,0,0
E,69,2,1,2023,0,0,0
E,70,2,1,2023,0,0,0
E,71,2,1,2023,0,0,0
E,72,2,1,2023,0,0,0
E,73,2,1,2023,0,0,0
E,74,2,1,2023,0,0,0
E,75,2,1,2023,0,0,0
E,76,2,1,2023,0,0,0
E,77,2,1,2023,0,0,0
E,78,2,1,2023,0,0,0
E,79,2,1,2023,0,0,0
E,80,2,1,2023,0,0,0
E,81,2,1,2023,0,0,0
E,82,2,1,2023,0,0,0
E,83,2,1,2023,0,0,0
E,84,2,1,2023,0,0,0
E,85,2,1,2023,0,0,0
E,86,2,1,2023,0,0,0
E,87,2,1,2023,0,0,0
E,88,2,1,2023,0,0,0
E,89,2,1,2023,0,0,0
E,90,2,1,2023,0,0,0
E,91,2,1,2023,0,0,0
E,92,2,1,2023,0,0,0
E,93,2,1,2023,0,0,0
E,94,2,1,2023,0,0,0
E,95,2,1,2023,0,0,0
E,96,2,1,2023,0,0,0
E,97,2,1,2023,0,0,0
E,98,2,1,2023,0,0,0
E,99,2,1,2023,0,0,0
E,100,2,1,2023,0,0,0
E,101,2,1,2023,0,0,0
E,1,3,1,2023,0,0,0
E,2,3,1,2023,0,0,0
E,3,3,1,2023,0,0,0
E,4,3,1,2023,0,0,0
E,5,3,1,2023,0,0,0
E,6,3,1,2023,0,0,0
E,7,3,1,2023,0,0,0
E,8,3,1,2023,0,0,0
E,9,3,1,2023,0,0,0
E,10,3,1,2023,0,0,0
E,11,3,1,2023,0,0,0
E,12,3,1,2023,0,0,0
E,13,3,1,2023,0,0,0
E,14,3,1,2023,0,0,0
E,15,3,1,2023,0,0,0
E,16,3,1,2023,0,0,0
E,17,3,1,2023,0,0,0
E,18,3,1,2023,0,0,0
E,19,3,1,2023,0,0,0
E,20,3,1,2023,0,0,0
E,21,3,1,2023,0,0,0
E,22,3,1,2023,0,0,0
E,23,3,1,2023,0,0,0
E,24,3,1,2023,0,0,0
E,25,3,1,2023,0,0,0
E,26,3,1,2023,0,0,0
E,27,3,1,2023,0,0,0
E,28,3,1,2023,0,0,0
E,29,3,1,2023,0,0,0
E,30,3,1,2023,0,0,0
E,31,3,1,2023,0,0,0
E,32,3,1,2023,0,0,0
E,33,3,1,2023,0,0,0
E,34,3,1,2023,0,0,0
E,35,3,1,2023,0,0,0
E,36,3,1,2023,0,0,0
E,37,3,1,2023,0,0,0
E,38,3,1,2023,0,0,0
E,39,3,1,2023,0,0,0
E,40,3,1,2023,0,0,0
E,41,3,1,2023,0,0,0
E,42,3,1,2023,0,0,0
E,43,3,1,2023,0,0,0
E,44,3,1,2023,0,0,0
E,45,3,1,2023,0,0,0
E,46,3,1,2023,0,0,0
E,47,3,1,2023,0,0,0
E,48,3,1,2023,0,0,0
E,49,3,1,2023,0,0,0
E,50,3,1,2023,0,0,0
E,51,3,1,2023,0,0,0
E,52,3,1,2023,0,0,0
E,53,3,1,2023,0,0,0
E,54,3,1,2023,0,0,0
E,55,3,1,2023,0,0,0
E,56,3,1,2023,0,0,0
E,57,3,1,2023,0,0,0
E,58,3,1,2023,0,0,0
E,59,3,1,2023,0,0,0
E,60,3,1,2023,0,0,0
E,61,3,1,2023,0,0,0
E,62,3,1,2023,0,0,0
E,63,3,1,2023,0,0,0
E,64,3,1,2023,0,0,0
E,65,3,1,2023,0,0,0
E,66,3,1,2023,0,0,0
E,67,3,1,2023,0,0,0
E,68,3,1,2023,0,0,0
E,69,3,1,2023,0,0,0
E,70,3,1,2023,0,0,0
E,71,3,1,2023,0,0,0
E,72,3,1,2023,0,0,0
E,73,3,1,2023,0,0,0
E,74,3,1,2023,0,0,0
E,75,3,1,2023,0,0,0
E,76,3,1,2023,0,0,0
E,77,3,1,2023,0,0,0
E,78,3,1,2023,0,0,0
E,79,3,1,2023,0,0,0
E,80,3,1,2023,0,0,0
