state,age,vaccination,risk,year,value,value_min,value_max
new_case,All,All,All,1950,959319,958583,960478
new_case,All,All,All,1951,15038,14985,15120
new_case,All,All,All,1952,18577,18451,18756
new_case,All,All,All,1953,24721,24564,24913
new_case,All,All,All,1954,33394,33262,34359
new_case,All,All,All,1955,41021,39991,41075
new_case,All,All,All,1956,41725,41235,42094
new_case,All,All,All,1957,44350,44107,45163
new_case,All,All,All,1958,45441,44559,46534
new_case,All,All,All,1959,48158,47318,49358
new_case,All,All,All,1960,49992,48377,51177
new_case,All,All,All,1961,52306,51367,53964
new_case,All,All,All,1962,53744,52214,55249
new_case,All,All,All,1963,57115,55133,58690
new_case,All,All,All,1964,57452,55403,58286
new_case,All,All,All,1965,51980,50030,52784
new_case,All,All,All,1966,47508,46901,48938
new_case,All,All,All,1967,45001,43974,45814
new_case,All,All,All,1968,40987,37420,41258
new_case,All,All,All,1969,34432,34012,35524
new_case,All,All,All,1970,31750,31515,32199
new_case,All,All,All,1971,30879,29545,31355
new_case,All,All,All,1972,27154,26333,27546
new_case,All,All,All,1973,24225,23460,24663
new_case,All,All,All,1974,22897,22581,23229
new_case,All,All,All,1975,22091,21512,22369
new_case,All,All,All,1976,21733,21492,22111
new_case,All,All,All,1977,21610,21475,21929
new_case,All,All,All,1978,21743,21692,22308
new_case,All,All,All,1979,21508,21345,21931
new_case,All,All,All,1980,21484,21300,21711
new_case,All,All,All,1981,21589,21369,22135
new_case,All,All,All,1982,21836,21416,21921
new_case,All,All,All,1983,22005,21844,22059
new_case,All,All,All,1984,22332,22046,22491
new_case,All,All,All,1985,23100,22644,23218
new_case,All,All,All,1986,23094,22480,23178
new_case,All,All,All,1987,23261,22749,23561
new_case,All,All,All,1988,23788,23419,23855
new_case,All,All,All,1989,24038,23652,24326
new_case,All,All,All,1990,24555,24091,24636
new_case,All,All,All,1991,25062,24820,25294
new_case,All,All,All,1992,26310,25668,26491
new_case,All,All,All,1993,26135,25809,26590
